id,tb_room_id,name,description,image_url
1,34,Alarm Clock,Nunc rhoncus dui vel sem.,http://dummyimage.com/744x951.png/dddddd/000000
2,63,Writing Table & Chair,Sed ante.,http://dummyimage.com/712x1032.png/ff4444/ffffff
3,151,DVD Player,Morbi ut odio.,http://dummyimage.com/837x1262.png/5fa2dd/ffffff
4,85,Mini Fridge,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",http://dummyimage.com/764x1031.png/dddddd/000000
5,162,Writing Table & Chair,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",http://dummyimage.com/742x1217.png/ff4444/ffffff
6,61,Alarm Clock,Maecenas pulvinar lobortis est.,http://dummyimage.com/666x914.png/5fa2dd/ffffff
7,169,Alarm Clock,Cras pellentesque volutpat dui.,http://dummyimage.com/727x1276.png/cc0000/ffffff
8,24,Coffee Maker,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",http://dummyimage.com/844x978.png/5fa2dd/ffffff
9,57,Coffee Maker,Nullam porttitor lacus at turpis.,http://dummyimage.com/660x1078.png/ff4444/ffffff
10,41,TV,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,http://dummyimage.com/612x1063.png/cc0000/ffffff
11,73,Bathtub,In quis justo.,http://dummyimage.com/631x1393.png/dddddd/000000
12,153,DVD Player,In sagittis dui vel nisl.,http://dummyimage.com/692x1220.png/dddddd/000000
13,105,Coffee Maker,In hac habitasse platea dictumst.,http://dummyimage.com/704x1315.png/cc0000/ffffff
14,102,Safe,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",http://dummyimage.com/888x1151.png/ff4444/ffffff
15,200,Mini Fridge,Nullam molestie nibh in lectus.,http://dummyimage.com/805x1400.png/ff4444/ffffff
16,51,TV,Donec posuere metus vitae ipsum.,http://dummyimage.com/764x1196.png/5fa2dd/ffffff
17,87,Writing Table & Chair,Morbi vel lectus in quam fringilla rhoncus.,http://dummyimage.com/653x934.png/ff4444/ffffff
18,120,TV,Proin eu mi.,http://dummyimage.com/658x1145.png/5fa2dd/ffffff
19,188,Alarm Clock,Cras in purus eu magna vulputate luctus.,http://dummyimage.com/672x1024.png/ff4444/ffffff
20,164,Safe,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",http://dummyimage.com/654x1345.png/ff4444/ffffff
21,112,Coffee Maker,Vivamus vel nulla eget eros elementum pellentesque.,http://dummyimage.com/636x1173.png/cc0000/ffffff
22,19,Coffee Maker,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",http://dummyimage.com/616x1289.png/5fa2dd/ffffff
23,122,TV,Donec quis orci eget orci vehicula condimentum.,http://dummyimage.com/655x1087.png/ff4444/ffffff
24,167,TV,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",http://dummyimage.com/719x1215.png/5fa2dd/ffffff
25,95,Alarm Clock,Nulla justo.,http://dummyimage.com/610x1118.png/dddddd/000000
26,180,Mini Fridge,Nunc nisl.,http://dummyimage.com/746x1377.png/cc0000/ffffff
27,111,Safe,Etiam justo.,http://dummyimage.com/677x1235.png/ff4444/ffffff
28,82,TV,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,http://dummyimage.com/610x1017.png/ff4444/ffffff
29,166,Mini Fridge,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",http://dummyimage.com/732x1077.png/ff4444/ffffff
30,140,DVD Player,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",http://dummyimage.com/633x1136.png/dddddd/000000
31,10,Writing Table & Chair,Nulla suscipit ligula in lacus.,http://dummyimage.com/753x1234.png/dddddd/000000
32,132,Alarm Clock,Sed vel enim sit amet nunc viverra dapibus.,http://dummyimage.com/791x1273.png/dddddd/000000
33,88,TV,Morbi a ipsum.,http://dummyimage.com/818x1282.png/ff4444/ffffff
34,39,TV,Nulla facilisi.,http://dummyimage.com/635x949.png/cc0000/ffffff
35,196,Writing Table & Chair,Donec quis orci eget orci vehicula condimentum.,http://dummyimage.com/712x1181.png/cc0000/ffffff
